UserName,Review,Score,Date,Bank,No.,Positive,Negative,Sentiment
waterfall1402,too much mystery in this app. Not pure. Can steal your money at any time.,1,4/9/2023 17:09,Revolut,35,0.01798448,0.98201555,0
NonkungZ,"Without any prior notice or explanation, Revolut decided to close my account. This abrupt account closure has left me shocked and inconvenienced, as it has disrupted my ability to access and manage my funds. The lack of communication and transparency surrounding this decision is simply unacceptable and demonstrates a complete disregard for customer experience and satisfaction.

What troubles me even more is the apparent legitimacy of the Revolut app itself. I have started to doubt the authenticity of the app, given the sudden account closure and the lack of information provided. As a user, I rely on the App Store to ensure that the apps I download and use are safe, reliable, and legitimate. However, this recent experience with Revolut has shaken my trust in the platform’s ability to curate apps that meet these criteria.",1,31/8/2023 0:32,Revolut,36,0.023288744,0.976711214,0
OfflineBizExpert,"In-app support is almost non-existent. They pass you from person to person and department to department and sometimes you get no answers for more than an hour. And you never know when someone will answer your question. 

And I’m on the metal plan which is supposed to give “priority support”.  

This definitely isn’t what i envisioned as priority support",1,30/8/2023 13:25,Revolut,37,0.018635653,0.98136431,0
Charlotte0703,Suddenly log me out and I am unable to log in. Already submit selfie and identity verification but not response at all! Suddenly I am unable to access my account!,1,23/8/2023 3:02,Revolut,38,0.139831141,0.860168874,0
hayopiyo,"You will not get any reply from developer the reason that your application doesn’t get approved, they just asked you to keep trying and trying to submit your application, such a failure apps. Totally not recommend.",1,18/8/2023 4:36,Revolut,39,0.010605491,0.989394605,0
Hassan Mehraj,"Hi Revolut, I had been trying to activate my account! I am unable to log on. How many times do I need to take selfie and upload documents? I am loosing my patience! and poor customer support! I need my money back from my account!

Hi Revolut thanks! I had got back my account! Finally after a long struggle! Sorry I was really loosing patience! Anyway I will be a customer, I do feel it’s not user friendly! Too many securities! Thank You. Thanks to agent Winn. Unfortunately the chat was closed and sorry.",1,2/8/2023 5:23,Revolut,40,0.805124879,0.194875166,1
Awy01,"Tried to sign up through a friend recommendation but my account keep hitting error after I link it with SingPass! It just suddenly go blank screen with error massage and cant be used at all. Beware guys, seems scammy and feels like a data collecting app. I regret linking with SingPass. DL at your own risk!",1,28/7/2023 16:07,Revolut,41,0.015823511,0.984176576,0
Samsayswhut,"Can’t login even after prompting forgot password and submitting the required docs. Don’t understand how can there be such a bad UI that prevents users from logging in. Time to try YouTrip instead!

Update: customer service is horrid, arranged a call time slot that ranges 4hours but no call was made in the end",1,28/7/2023 12:53,Revolut,42,0.01079116,0.989208996,0
Nura AB,"I have reached out to 5 agents, every month, no one is able to clearly advise when my limit will revert. All they said is to wait monthly and it will slowly release the amount monthly as its already capped at $30k. So meaning to say u clearly have to wait 12mths to be able to spend the full $30k which is not any pre-credit but your own money. If u are travelling overseas pls check this 364 limit on your profile. It embarrasing to get decline when u have more than enough funds to pay but due to this limitation. And dont waste time no agent can help they dont even think and push to MAS regulatory which i dont have experience w ofher card and they clearly be able to advise when.",1,22/7/2023 16:27,Revolut,43,0.041321855,0.958678186,0
Nickname561616272,I repeatedly asked to downgrade my plan because the only feature that made the plan worth it was now not available anymore. 3 different chat officers and they still havent downgraded my plan and they STILL PROCEED TO CHARGE ME. THIS IS CRAZY. Will find a way to chargeback from my original credit card. So extremely dissapointing the service juat keep getting worse.,1,8/7/2023 17:27,Revolut,44,0.010922614,0.989077389,0
Avril6,"I live in Southeast Asia and frequently travel to Thailand, Malaysia, Singapore.. Revolut has helped me a lot while I'm travelling to Europe, but it would be more helpful if you could also be available in more country in Southeast Asia. :thumbs_up:",4,5/7/2023 9:37,Revolut,45,0.986150801,0.01384919,1
Hu Kai,"Thanks for this convenient software. I have used it for my two trips in Jun 2023, one is for Europe, another is for Australia.
Appreciate the team.",5,3/7/2023 4:26,Revolut,46,0.991474926,0.008524982,1
PWEJ25,"Literally doing my first app review in my whole life because of how bad their system is. For some reason, my pin is not working which resulted in me clicking ""forget password"". It directed me to a page that requested a picture of myself and my ID in which I provided on 25/06/2023 night. It noted that it will take usually less than 10 minutes (no reply at all even till the next day). So, on 26/06/2023 night, I tried again and it failed my verification process. It directed me to a chat agent (Navi) who requested I took a picture with my ID, then requesting I took a picture with a paper writing ""revolut, date (26/06/2023) and time"" in which I did a selfie of myself and my macbook's notes app because I didn't have paper, he/she said it has to be on paper due to security reasons.",1,26/6/2023 13:25,Revolut,47,0.014415567,0.985584557,0
aezjnn,"25 Jun received reply from developer, may I know which Bank maintenance for over a week? If you sincere to help, you do this: Set up a Giro using Maybank savings account. Log in to Maybank online banking, check the Revolut Giro is tied to your bank account successfully. Okay now you delete it. Then you come back to Revolut APP, can you see the Maybank account still in APP? If you can still see, click Revoke, does it remove the bank account link? In summary: 16/6 Terminate Giro directly by calling Bank, not via Revoke ( think this caused the issue now) 25/6 Bank account still shows in Revolut APP 17/6-25/6 Had clicked Revoke in APP which is dumb as there is no more Giro to terminate as per bank’s record. —————————————————————— I had linked a bank account to Resolut. The Giro was set up successfully as I log on to my bank account online banking, I can see Resolut Giro. However, top up failed, there is an error message about exceeding limit. Followed up with Bank, Bank said did not see any limit restriction for Resolut Giro. Okay, normal next step is to unlink and link again, right? So I terminated the Giro at bank's end. Guess what? Resolut DID NOT CAPTURE the Giro termination. That bank account still shows in Resolut APP. I can click on it but it does NOT activate a top up. Yeah, right, Giro to Resolut already terminated at Bank's side. How about re-link? Nope, APP indicates that the bank account is currently linked to my Resolut acocunt. Reported this issue, agent closed ticket with a non-resolution update. Great !!! What little confidence it inspires to use Resolut given the incapacity to fix issue with inadmirable capability? And a strange update? Surely, the unlinked bank account is now a set of numbers residing as data in the system tied to my Resolut account. It is most helpful to shed light how challenging it is to take a look at that and attempt a delete backend? Currently, am using other similar services, no issue with unlinking bank account. Oh, if you had not done Giro, DO NOT LINK YOUR BANK ACCOUNT TO RESOLUT, YOUR BANK NAME + ACCOUNT NUMBERS WILL BE IN FULL DISPLAY. Ultimate indiscretion.",1,25/6/2023 5:02,Revolut,48,0.024673242,0.975326836,0
Louis IMK,3 DOLLARS FEES FOR A 50 DOLLARS LOCAL TRANSACTION! NOT INTERNATIONAL  BUT LOCAL TRANSACTION! ARE YOU PEOPLE GONE MAD? I STORED AT LEAST 500 SGD EVERY MONTH IN YOUR APP BECAUSE I LIKED IT BUT NOW YOU GUYS DISAPPOINTED ME WITH YOUR UNFAIR CHARGING! THIS WILL MAKE YOU LOSE A LOT OF COSTUMERS! SAYONARA.,1,11/6/2023 5:41,Revolut,49,0.016640658,0.983359337,0
AaronChai,Don’t waste your time to download or register,1,8/6/2023 2:56,Revolut,50,0.017448194,0.982551813,0
Disappointed with design,"Downloaded app, signed up, donated $20, then closed my account and deleted the app all within the space of an hour when I realised (including after chatting with unhelpful support agents) that you can’t even choose what to display on the physical card. This is the most basic thing that a card issuer normally allows. For privacy reasons I never have my entire legal name on display, but Revolut insists on doing that automatically with no alternatives to mask one’s name. Hard pass.",1,6/6/2023 5:46,Revolut,51,0.018580202,0.981419861,0
Reviews from user,"I used the app before, and I have money inside.
Suddenly it requests face recognition, never did before. if I cannot provide face recognition I can not access my money in the app.
This is borderline thief.",1,3/6/2023 3:21,Revolut,52,0.024984732,0.975015223,0
qwerty200201,"I’ve had so much trouble moving money and out of my accounts. The customer service is quick, but it’s so annoying that ive spent hours fixing weird issues with my accounts. Wise and YouTrip provided significantly smoother experiences",1,31/5/2023 14:08,Revolut,53,0.231440917,0.768559039,0
XH$,"Due to bad service, I had requested for a transfer of funds and closure of account. Have not heard back. What a waste of time!",1,30/5/2023 10:26,Revolut,54,0.010188386,0.98981154,0
Iamvicky6899,I have opened an account with two banks Standard Chartered which is the most popular and reputed & Wise with my ID. And when trying to open an account in Revolut using the same ID they said we couldn't verify your ID Documents. I don't know if Revolute is bigger and safer than Standard Chartered as it required :frowning_face_with_open_mouth: other documents to verify my identity.,1,28/5/2023 17:54,Revolut,55,0.842193246,0.157806739,1
Rastateofmind,"The only reason why I’m not giving this a full 5 star is because they don’t do MYR which is odd considering they have practically have every Asian currency Bath,Pesos, Rupees and MYR is just next door dude. So you wanna earn my stars work harder:winking_face:",4,28/5/2023 1:14,Revolut,56,0.909624398,0.090375751,1
MckaylaSwift,"Although convenient, fees charged to buy cryptos are 1.99%! And it’s not in fiat money but in cryptos!

If you buy 100BTC, fees are 1.99BTC. 

Won’t use you guys again.",2,20/5/2023 7:33,Revolut,57,0.018576203,0.981423795,0
biglobe,Need to set up again every time.,3,16/5/2023 9:41,Revolut,58,0.841052473,0.158947498,1
_jusmeen,":warning::no_entry::warning::no_entry::warning::no_entry::warning::no_entry:
SHARING IS NOT CARING. AT LEAST NOT IN REVOLUT’S CASE.

Revolut has discriminating policies. People using the same invitation / referral links to sign up for new accounts are getting different amounts of referral fees based on some privilege selections with completely no basis. 

Friend A shared referral link to me and Friend B to sign up, both Friend A & B are getting SGD 80 for every successful referrals, I am only getting SGD 45. When contacted, their customer service crew said nothing can be done for such differing treatment and asked me to lodge a complaint. And even until the end of the invitation period, no one addressed my complaint formally.",1,10/5/2023 0:23,Revolut,59,0.025811892,0.974188149,0
dondondonkee,"I was stuck on the verification page since April 18/19. It was stated on their page that it would take 48 hours. 
But after 5 days, I emailed in, informing about the inconvenience I was facing. I wasn’t getting a reply. 

Hence, I dm-ed the team on their Instagram & they replied that the team would escalate the case to get it done for me.

It has been 2 weeks since I raised my concerns, yet I wasn’t getting updates from them, not to mention the issue of being stuck on the verification page unresolved. 

Absolutely inefficient, frustrating experience as a consumer. Please do not download this app! I have $20 deposited that is stuck there forever.",1,1/5/2023 14:24,Revolut,60,0.012572401,0.987427533,0
Alexandriariana,"Revolut has kept me verifying and reverifying my ID time and again. They even verified then unverified me! The reverification has happened more than 20times and I have been redirected from one customer service officer to another more than 10times, always with lies and false assurances that the issue is being sorted out in the next few days. They have told me my ID is expired, when the NRIC does not expire, and moreover, I have used MySingpass Info (our government platform) to verify my ID. I have used this same ID to open new trading and bank accounts since then on other platforms without any issue at all. I have also transacted official business over government platforms for my company using my same MySingpass ID to login. No issues whatsoever. I have taken pains explaining that my ID had my residential address updated (required by law) upon my getting my own apartment and that the date reflected is the date that this was updated. No where does it indicated the word “expiry date”. Do not trust revolut. They cannot even get their act together in such a simple matter as verifying my ID through the official MySingPass ID channel, how can they be trusted in more complex situations. Revolut has caused much trouble and upset, plus wasted time. It has been a most unprofessional and dubious platform, exposing me to risk through their suspect processes (by which I mean verifying and unverifying me repeatedly, having me share my full ID details time and again more than 20times. The irony is I am “allowed” to trade commodities and crypto, so apparently my ID verification is fine for that, but not for stocks. One word sums this circus up - RIDICULOUS! Please get your act together asap, revolut",1,26/4/2023 17:30,Revolut,61,0.011281488,0.98871851,0
willcena31,"Made 3 exact transactions through shopee using their virtual card, but only one considered for the referral program. I even showed the screenshots of my purchases when asking for help from live agent, was told that they can’t override the system and they could do nothing about it. The whole time giving me unprofessional attitude and asked me to make additional 2 payments to be considered as genuine transactions. Terrible service and platform, highly discourage you from using Revolut.",1,19/4/2023 9:15,Revolut,62,0.009060312,0.990939856,0
surgicalmask,"No reward, invite friends for what?",1,19/4/2023 5:20,Revolut,63,0.016617425,0.983382463,0
jjoe2010,Registration can be simpler. I added card twice and in the end I have three virtual cards and one standard card.,2,13/4/2023 13:46,Revolut,64,0.903650403,0.09634956,1
Doesn't seem to work at all,"From their promotional email:
(Note: purchases can be done with a virtual card while they wait for their physical one)

But you are unable to setup virtual card until your physical card has arrived to verify the address. 
The physical card will arrive after the promotion has expired. What a fake. Won’t refer to anyone again…..",1,23/3/2023 1:50,Revolut,65,0.017016819,0.982983232,0
mixit man,"Easy banking from saving to spending, transferring money is a breeze",5,10/3/2023 11:25,Revolut,66,0.981985986,0.018013978,1
Chnrxn,"I like the simple interface, fast transaction time and no hidden charges so far. Have been using the app and the temporary cards when I travel to a few countries and had no issue with payment.",5,27/2/2023 15:03,Revolut,67,0.991487265,0.008512751,1
KeShiLin,Same day transfer of funds to Philippines,5,14/2/2023 13:07,Revolut,68,0.884495795,0.115504161,1
Amuu99,"Been using revolut for a year and haven’t look back for any other apps since then. Amazinging App, great UI, Best analystic features",5,31/1/2023 4:46,Revolut,69,0.993358791,0.006641147,1
aybit,"After the recent update, the error message keeps popping up when I open the app. Didn’t happen in 2022.",3,30/1/2023 23:00,Revolut,70,0.436417222,0.563582778,0
rssgp,There’s a new $0.30 fee each time I top up the Revolut account. It’s not worth it.,2,24/1/2023 10:46,Revolut,71,0.011563818,0.988436222,0
Nm2516,I have so far used it in several countries in Europe and Asia with no issues and excellent exchange rates.,5,18/1/2023 2:44,Revolut,72,0.991149485,0.008850461,1
ytksg,Ordered both the Revolut card and <18 for my kids. The kids card arrived with 2 weeks but the main card has not been delivered after almost 2 months even after I re-order the card. That’s poor delivery. There’s no chat or email within the app to allow feedback and contact. That’s poor customer service. I’ll not recommend this card. YouTrip is probably a better choice. Will not be using the card after we finish the credit we transferred to the card. There’s better choice out there.,1,16/1/2023 4:16,Revolut,73,0.013038442,0.986961663,0
Alelude,"I have been using revolut for 1-2 years

Works as intended until I needed customer service which takes 3-5 days to respond 1 single message and despite not solving the issue, goes ahead to close the chat without asking if there is anything else he can help with.

Going to sign up with other competitors as I write this.",1,10/1/2023 6:57,Revolut,74,0.056062449,0.9439376,0
爱好麻将朋友,"Dear Sir,

There is a problem whenever I try to use my iphone to scan company door access (HID mobile access), Revolut apps always pop out. No matter how I deactivate it, it still pop out even try to reinstall Revolut apps. Still having the same problem.",2,9/1/2023 12:46,Revolut,75,0.871291459,0.128708631,1
xMPx Halomaniac,"It just got just at creating a passcode, I created it then want me to create again and again and again non-stop",1,4/1/2023 17:02,Revolut,76,0.071734697,0.928265333,0
Azdtroyyy,"I cant express how many thanks i can to your team for creating this app. I have issues with creating a bank account with two people. And u guys made it real, now i can save woth my wife and we can monitor the spendage properly. Your exchange rate is good too! I do buy some items online in Us store and if i dont exchange and use normal visa, its so expensive!!! Now i dont have to worry with such low fees. Im your fan now revolut! U will earn a very loyal customer. Thank you! And oh, please do add like stocks in your app too so that we can buy them, then i think that will be the ultimate one! If u do add stocks, then we can earn dividends as well for some stocks, and u might not know people could buy your stocks too if u made it real! I may be one of them! Thank uou revolut! U guys really are the revolution!",5,1/1/2023 14:26,Revolut,77,0.993586183,0.006413738,1
joan0234,Worst payment UI in history it is confusing to use and I had login problems when changing my number. Literally unusable and my money is stuck there now,1,30/11/2022 3:52,Revolut,78,0.00985933,0.990140676,0
Artemis1999,"Got rejected with the reason that Revolut can’t identify me, went through the process multiple times, provided different documents, result is the same…",1,20/11/2022 6:04,Revolut,79,0.03072278,0.969277203,0
ak47sharma,Stay away. A nightmare to come out of.,5,19/11/2022 0:11,Revolut,80,0.017121799,0.982878149,0
t.l.s.g,My account kept getting deactivated each time i try to verify my identity even though i used the appropriate documents such as passport and identification card. Tried to chat with ‘Live support team’ multiple times. Mentioned that I kept getting deactivated each time I verified and wanted to know why. They just kept asking me to verify my identification as they cant do anything without it. Showed them screenshots of me doing that the previous time and asked whether they can escalate the issue as once i verify i get deactivated and lose the ability to chat with them. But they insisted and I’m back to being deactivated without hearing an explanation. Submitted complain feedback but not much help also,1,16/11/2022 9:25,Revolut,81,0.045205709,0.954794407,0
agdksbwg,I made a transfer yesterday (14/11) to a singapore local banks account but still my transaction is pending revolute team say they are checking. Don't know whether I can made the transaction successfully or not? Wish revolute refund back my amount $800.,1,15/11/2022 0:06,Revolut,82,0.976956487,0.023043524,1
Cornelia Noniek,Unpredictable in transfer time,2,14/11/2022 4:45,Revolut,83,0.845128179,0.154871821,1
Docs hmdcakhbbhjdavjhb,They called my purchases with Shopee invalid lol and refused to give my friend the referral money,1,7/11/2022 6:31,Revolut,84,0.162122801,0.837877214,0
cyclops009,Better to ignore. Customer service even worse.,1,2/11/2022 13:51,Revolut,85,0.009916248,0.990083694,0
NAY-19,"Sure, the referral bonus seems nice but don’t bother with it, cause you’ll never get it.

Invalid transaction according to the program and their T&C includes FX, transfers, gambling, giftcards.

My referrals spent directly (not via top up) on Shopee on their retail purchases, one of the biggest online retailers in Singapore and it came to my attention that Shopee transactions are not valid (research on Reddit).

Bad experience and please don’t ever use their services. Revolut is a personal finance app that is dishonest with their marketing content.",1,21/10/2022 4:28,Revolut,86,0.008866465,0.991133571,0
lynamy09,"Why so difficult to get contact with customer service:enraged_face:

I get access to view and check on my card balance:enraged_face: suddenly i can’t used my passcode.  Email to Revolut and reply by a robot and still didn’t help.  

How can i discontinue using this Revolute card? And i just upgrade to a premium card.

Please assist as I totally cannot access to the app. I have been prompted that my hp no is not registered to the app :flushed_face:",1,18/10/2022 11:46,Revolut,87,0.211777642,0.788222313,0
Dom2478TD,"Living in a country where there a yearly spending limit and there's no feature that shows my how much I've got left of my limit - hence I've no clue about how much I can use the card.. should be that difficult to add the feature so we(people living in countries with spending limits) know what we can and can't do!!!
Until then I'll not be recommending this app to anyone, sorry Revolut.",1,12/10/2022 14:45,Revolut,88,0.019590568,0.980409503,0
Sohlucky,I like all the overall app experience!,5,10/10/2022 3:38,Revolut,89,0.985902488,0.014097607,1
baha karim,Able to have multiple accounts for multiple purposes.,5,9/10/2022 18:59,Revolut,90,0.929019749,0.070980243,1
bsssgssss,"They have promo this period  to refer 5 friends to get $80 each referral as long as you will have 3x purchase with minimum of $10 each. But after completing the requirements to qualify to the promo, Chat Support  will tag your transactions as invalid merchant even when you just purchase normal items from Lazada or Shopee. Chat support will ask you to buy more to qualify. This is beyond expectation and i wish i didn’t join their referral scheme.",1,4/10/2022 14:54,Revolut,91,0.019556351,0.980443597,0
ET home 😆,Best app :thumbs_up::thumbs_up::grinning_face:,5,4/10/2022 11:11,Revolut,92,0.897905588,0.102094367,1
wenditay09,Kept showing no connection and I can’t use it throughout my whole trip…,1,2/10/2022 11:43,Revolut,93,0.082713135,0.917286813,0
Zyngapoler,I love it! Wish I can get lifetime subscription free!,5,23/9/2022 15:57,Revolut,94,0.991174042,0.008825811,1
leia/yoda,The app works fine but the weekend exchange rate of 1% adds up and doesn’t make it any more competitive compared to YouTrip.,4,12/9/2022 15:36,Revolut,95,0.028489424,0.971510589,0
